,pca_strat_window_size,pca_strat_n_components,pca_strat_z_threshold,pca_strat_exit_threshold,sharpe_ratio
551,350,7,2.05,0.25,0.5793953459194486
552,350,7,2.1,0.25,0.599194922428637
553,350,7,2.15,0.25,0.5558687350311095
554,350,7,2.2,0.25,1.0462078325692856
555,350,7,2.25,0.25,0.8921008063389435
556,350,7,2.3,0.25,0.8671355596302931
557,350,7,2.35,0.25,0.6781477773605546
558,350,7,2.4,0.25,0.709409074485103
559,350,7,2.45,0.25,0.7226037434726591
560,350,7,2.5,0.25,1.1179369393814775
561,350,7,2.55,0.25,1.3939365263632617
562,350,7,2.6,0.25,1.0826795340829527
563,350,7,2.65,0.25,1.0015708343667218
564,350,7,2.7,0.25,1.0339351134165724
565,350,7,2.75,0.25,0.8851935504232574
566,350,7,2.8,0.25,1.0694070628517687
567,350,7,2.85,0.25,1.062138809929786
568,350,7,2.9,0.25,1.062138809929786
569,350,7,2.95,0.25,1.0478354469604936
570,350,7,3.0,0.25,1.1762671107474387
571,350,7,3.05,0.25,0.7557621635104422
572,352,7,2.0,0.25,0.3010464000226071
573,352,7,2.05,0.25,0.557617609113675
574,352,7,2.1,0.25,0.37008100734964783
575,352,7,2.15,0.25,0.7750163476472677
576,352,7,2.2,0.25,0.8061401243858167
577,352,7,2.25,0.25,0.49571505072206734
578,352,7,2.3,0.25,0.7230102229401696
579,352,7,2.35,0.25,0.5044279465333376
580,352,7,2.4,0.25,0.2113267527439033
581,352,7,2.45,0.25,0.7893596358664282
582,352,7,2.5,0.25,0.9784103117604803
583,352,7,2.55,0.25,0.9318995889975048
584,352,7,2.6,0.25,1.0092832606175617
585,352,7,2.65,0.25,1.1482652335816068
586,352,7,2.7,0.25,1.0753999645620784
587,352,7,2.75,0.25,1.05080638658458
588,352,7,2.8,0.25,1.0176873412458147
589,352,7,2.85,0.25,1.3221639870802788
590,352,7,2.9,0.25,1.3257660414817733
591,352,7,2.95,0.25,0.8135343588760828
592,352,7,3.0,0.25,0.9318062491306313
593,352,7,3.05,0.25,0.663428600823805
594,354,7,2.0,0.25,0.17053406939926358
595,354,7,2.05,0.25,0.4675901174225788
596,354,7,2.1,0.25,0.7412107258001274
597,354,7,2.15,0.25,0.5268193543288998
598,354,7,2.2,0.25,0.47046612165996365
599,354,7,2.25,0.25,0.47100597258293736
